Open,High,Low,Close,Volume,TLT R
85.1,85.54,84.81,85.21,1836795,0.003769584
84.93,85.26,84.8,85.19,1020988,-0.000234714
85.6,86.08,85.32,85.96,1461250,0.00903862
85.69,85.97,85.69,85.82,777900,-0.001628664
86.01,86.16,85.72,86.14,1351575,0.003728735
86.07,86.39,86,86.31,881068,0.001973531
86.8,87.46,86.65,87.03,2867298,0.008342023
87.03,87.56,86.85,87.28,5367835,0.002872573
87.21,87.36,86.91,87.03,1803900,-0.002864345
87.13,87.75,86.95,87.66,2467536,0.007238883
87.26,87.54,87.09,87.13,2154651,-0.006046087
87.17,87.45,86.99,87.35,2079459,0.002524963
87.28,87.93,87.28,87.93,1577597,0.006639954
87.7,87.72,87.17,87.29,1298400,-0.007278517
87.39,87.71,86.92,87.22,2573800,-0.000801925
86.89,86.89,85.86,86.16,6471268,-0.012153176
86.52,86.86,85.72,86.28,2637423,0.001392758
86.49,86.7,85.98,86.08,1496400,-0.002318034
85.92,86.4,85.9,86.33,1312600,0.002904275
86.02,86.78,86.01,86.56,1314700,0.002664196
86.58,86.75,86.25,86.25,1101700,-0.003581331
86.87,87.6,86.76,87.14,2410200,0.010318841
86.75,86.91,86.05,86.79,2114400,-0.004016525
86.96,87.27,86.83,86.84,1048680,0.000576103
87.15,87.41,87.05,87.26,1517200,0.004836481
87.22,87.31,86.81,87.12,1137787,-0.001604401
87.09,87.68,87.03,87.42,1618800,0.003443526
87.71,88.08,87.56,87.85,1614514,0.004918783
88.26,88.48,88.15,88.31,1585400,0.005236198
88.5,88.74,88.28,88.46,1298900,0.001698562
88.49,88.77,88.16,88.22,2686700,-0.002713091
88.55,88.96,88.47,88.81,1806800,0.006687826
88.43,89.2,88.43,88.88,2763200,0.0007882
88.9,89.13,88.2,88.56,930971,-0.00360036
88.72,89.35,88.72,89.27,1271500,0.008017164
89.33,89.49,88.95,89.04,1768399,-0.002576453
89.5,90.5,89.5,90.3,2852165,0.014150943
90.81,91.27,90.7,90.93,3925339,0.006976744
90.56,90.94,90.42,90.59,4458250,-0.00373914
