Date,SSO,UBT,UST,UGL,DIG
2006-06-21,7.494553089141846,,,,
2006-06-22,7.414891242980957,,,,
2006-06-23,7.413842678070068,,,,
2006-06-26,7.456818580627441,,,,
2006-06-27,7.324743747711182,,,,
2006-06-28,7.389735698699951,,,,
2006-06-29,7.70314359664917,,,,
2006-06-30,7.698948860168457,,,,
2006-07-03,7.803767204284668,,,,
2006-07-05,7.699997425079346,,,,
2006-07-06,7.7241082191467285,,,,
2006-07-07,7.635012626647949,,,,
2006-07-10,7.6486358642578125,,,,
2006-07-11,7.713624477386475,,,,
2006-07-12,7.561637878417969,,,,
2006-07-13,7.333134174346924,,,,
2006-07-14,7.267098426818848,,,,
2006-07-17,7.2597575187683105,,,,
2006-07-18,7.271291255950928,,,,
2006-07-19,7.520758628845215,,,,
2006-07-20,7.432712078094482,,,,
2006-07-21,7.315314292907715,,,,
2006-07-24,7.546961784362793,,,,
2006-07-25,7.6423492431640625,,,,
2006-07-26,7.657021522521973,,,,
2006-07-27,7.583649635314941,,,,
2006-07-28,7.756600856781006,,,,
2006-07-31,7.7356367111206055,,,,
2006-08-01,7.666458606719971,,,,
2006-08-02,7.725153923034668,,,,
2006-08-03,7.763937473297119,,,,
2006-08-04,7.761843204498291,,,,
2006-08-07,7.718865394592285,,,,
2006-08-08,7.655974388122559,,,,
2006-08-09,7.5972747802734375,,,,
2006-08-10,7.66436243057251,,,,
2006-08-11,7.60880708694458,,,,
2006-08-14,7.635012626647949,,,,
2006-08-15,7.822633743286133,,,,
2006-08-16,7.9536590576171875,,,,
2006-08-17,7.9861555099487305,,,,
2006-08-18,8.018647193908691,,,,
2006-08-21,7.980913162231445,,,,
2006-08-22,7.9945387840271,,,,
2006-08-23,7.922220230102539,,,,
2006-08-24,7.951564788818359,,,,
2006-08-25,7.966240882873535,,,,
2006-08-28,8.034375190734863,,,,
2006-08-29,8.072108268737793,,,,
2006-08-30,8.071061134338379,,,,
2006-08-31,8.06477165222168,,,,
2006-09-01,8.146525382995605,,,,
2006-09-05,8.161202430725098,,,,
2006-09-06,8.018647193908691,,,,
2006-09-07,7.937938690185547,,,,
2006-09-08,7.9945387840271,,,,
2006-09-11,7.992443084716797,,,,
2006-09-12,8.148625373840332,,,,
2006-09-13,8.228286743164062,,,,
2006-09-14,8.188454627990723,,,,
2006-09-15,8.258684158325195,,,,
2006-09-18,8.257636070251465,,,,
2006-09-19,8.204178810119629,,,,
2006-09-20,8.303757667541504,,,,
2006-09-21,8.21361255645752,,,,
2006-09-22,8.168538093566895,,,,
2006-09-25,8.320526123046875,,,,
2006-09-26,8.429537773132324,,,,
2006-09-27,8.450502395629883,,,,
2006-09-28,8.477755546569824,,,,
2006-09-29,8.443163871765137,,,,
2006-10-02,8.372937202453613,,,,
2006-10-03,8.403332710266113,,,,
2006-10-04,8.600393295288086,,,,
2006-10-05,8.641271591186523,,,,
2006-10-06,8.616117477416992,,,,
2006-10-09,8.624500274658203,,,,
2006-10-10,8.65070629119873,,,,
2006-10-11,8.616117477416992,,,,
2006-10-12,8.7701997756958,,,,
2006-10-13,8.811081886291504,,,,
2006-10-16,8.83832836151123,,,,
2006-10-17,8.767057418823242,,,,
2006-10-18,8.792211532592773,,,,
2006-10-19,8.807936668395996,,,,
2006-10-20,8.820514678955078,,,,
2006-10-23,8.90226936340332,,,,
2006-10-24,8.94210433959961,,,,
2006-10-25,8.992414474487305,,,,
2006-10-26,9.069985389709473,,,,
2006-10-27,8.950488090515137,,,,
2006-10-30,8.938958168029785,,,,
2006-10-31,8.909612655639648,,,,
2006-11-01,8.803743362426758,,,,
2006-11-02,8.796404838562012,,,,
2006-11-03,8.741901397705078,,,,
2006-11-06,8.954681396484375,,,,
2006-11-07,9.001853942871094,,,,
2006-11-08,9.060547828674316,,,,
2006-11-09,8.956779479980469,,,,
2006-11-10,8.972498893737793,,,,
2006-11-13,9.009185791015625,,,,
2006-11-14,9.137066841125488,,,,
2006-11-15,9.202054977416992,,,,
2006-11-16,9.2418851852417,,,,
2006-11-17,9.239788055419922,,,,
2006-11-20,9.234550476074219,,,,
2006-11-21,9.26285171508789,,,,
2006-11-22,9.302680015563965,,,,
2006-11-24,9.229308128356934,,,,
2006-11-27,8.982979774475098,,,,
2006-11-28,9.03853702545166,,,,
2006-11-29,9.201005935668945,,,,
2006-11-30,9.208341598510742,,,,
2006-12-01,9.166417121887207,,,,
2006-12-04,9.31316089630127,,,,
2006-12-05,9.388628959655762,,,,
2006-12-06,9.36137866973877,,,,
2006-12-07,9.295342445373535,,,,
2006-12-08,9.314209938049316,,,,
2006-12-11,9.362424850463867,,,,
2006-12-12,9.345656394958496,,,,
2006-12-13,9.391777992248535,,,,
2006-12-14,9.517558097839355,,,,
2006-12-15,9.557389259338379,,,,
2006-12-18,9.496596336364746,,,,
2006-12-19,9.547956466674805,,,,
2006-12-20,9.5115327835083,,,,
2006-12-21,9.4546537399292,,,,
2006-12-22,9.320119857788086,,,,
2006-12-26,9.443719863891602,,,,
2006-12-27,9.576064109802246,,,,
2006-12-28,9.5377836227417,,,,
2006-12-29,9.439347267150879,,,,
2007-01-03,9.378092765808105,,,,
2007-01-04,9.42621898651123,,,,
2007-01-05,9.277463912963867,,,,
2007-01-08,9.355125427246094,,,,
2007-01-09,9.331062316894531,,,,
2007-01-10,9.373714447021484,,,,
2007-01-11,9.486377716064453,,,,
2007-01-12,9.597942352294922,,,,
2007-01-16,9.583724021911621,,,,
2007-01-17,9.57934856414795,,,,
2007-01-18,9.499503135681152,,,,
