Date,SSO,UBT,UST,UGL
7/22/2015,33.9,36.17,55.13,32.24
7/23/2015,33.56,37.06,55.56,31.9
7/24/2015,32.84,37.28,55.67,32.51
7/27/2015,32.46,37.63,56.04,32.22
7/28/2015,33.24,37.21,55.75,32.32
7/29/2015,33.71,36.9,55.55,32.38
7/30/2015,33.73,37.37,55.71,31.89
7/31/2015,33.63,38.07,56.35,32.23
08/03/2015,33.39,38.66,56.71,31.76
08/04/2015,33.24,38.16,56.04,31.78
08/05/2015,33.49,37.61,55.7,31.57
08/06/2015,32.99,38.24,55.95,31.94
08/07/2015,32.82,39.2,56.45,32.13
08/10/2015,33.63,38.24,56.02,32.73
08/11/2015,33.01,39.42,56.79,33.02
08/12/2015,33.08,39.02,56.77,33.98
8/13/2015,33.02,38.85,56.42,33.43
8/14/2015,33.24,38.95,56.21,33.44
8/17/2015,33.63,39.35,56.47,33.59
8/18/2015,33.42,38.69,56.27,33.57
8/19/2015,32.89,39.48,57,34.43
8/20/2015,31.53,40.3,57.35,35.59
8/21/2015,29.56,40.51,57.74,36.11
8/24/2015,27.12,40.6,57.91,35.71
8/25/2015,26.47,39.31,57.25,34.85
8/26/2015,28.52,37.63,56.6,33.9
8/27/2015,29.9,37.71,56.55,33.91
8/28/2015,29.9,37.92,56.6,34.51
8/31/2015,29.43,37.53,56.41,34.57
09/01/2015,27.65,37.94,56.82,34.85
09/02/2015,28.72,37.22,56.61,34.45
09/03/2015,28.76,37.71,56.83,33.89
09/04/2015,27.89,38.23,57.16,33.76
09/08/2015,29.32,37.16,56.63,33.66
09/09/2015,28.5,37.45,56.76,32.88
09/10/2015,28.81,36.98,56.45,33.05
09/11/2015,29.06,37.39,56.8,32.84
9/14/2015,28.85,37.72,56.87,32.89
9/15/2015,29.57,36.1,55.99,32.7
9/16/2015,30.1,35.81,55.93,33.56
9/17/2015,29.95,36.7,56.84,34.31
9/18/2015,28.98,37.9,57.42,34.69
9/21/2015,29.26,36.71,56.79,34.36
9/22/2015,28.52,37.66,57.29,33.89
9/23/2015,28.4,37.32,57.15,34.18
9/24/2015,28.24,38.02,57.33,35.54
9/25/2015,28.2,37.3,57.05,35.19
9/28/2015,26.77,38.69,57.68,34.25
9/29/2015,26.81,38.82,58.07,33.96
9/30/2015,27.8,38.6,58.14,33.23
10/01/2015,27.96,38.75,58.24,33.14
10/02/2015,28.79,39.28,58.73,34.61
10/05/2015,29.81,38.39,58.12,34.45
10/06/2015,29.6,38.6,58.37,35.08
10/07/2015,30.09,38.55,58.09,35.07
10/08/2015,30.63,37.74,57.81,34.72
10/09/2015,30.66,37.77,57.83,35.75
10/12/2015,30.72,38.47,58.17,36.04
10/13/2015,30.34,38.58,58.34,36.4
10/14/2015,30.02,39.26,58.93,37.61
10/15/2015,30.96,38.92,58.58,37.31
10/16/2015,31.21,38.77,58.42,36.8
10/19/2015,31.25,38.78,58.38,36.47
10/20/2015,31.18,38.17,58.02,36.96
10/21/2015,30.82,39.05,58.36,36.32
10/22/2015,31.82,39.03,58.42,36.24
10/23/2015,32.55,38.46,57.85,36.14
10/26/2015,32.39,38.92,58.12,36.04
10/27/2015,32.24,39.02,58.42,36.25
10/28/2015,32.98,38.79,57.77,35.68
10/29/2015,32.96,37.56,57.06,34.92
10/30/2015,32.65,38.05,57.28,34.68
11/02/2015,33.41,37.99,56.95,34.19
11/03/2015,33.61,37.2,56.64,33.23
11/04/2015,33.42,37.35,56.53,32.59
11/05/2015,33.35,37.01,56.44,32.42
11/06/2015,33.32,35.97,55.66,31.49
11/09/2015,32.7,35.5,55.45,31.66
11/10/2015,32.81,36,55.67,31.46
11/11/2015,32.58,35.6,55.62,31.23
11/12/2015,31.68,35.88,55.76,31.32
11/13/2015,30.96,36.18,56.11,31.13
11/16/2015,31.89,36.2,56.27,31.17
11/17/2015,31.82,36.4,56.24,30.38
11/18/2015,32.86,36.55,56.19,30.42
11/19/2015,32.8,37.11,56.42,31.09
11/20/2015,33.04,36.84,56.27,30.82
11/23/2015,32.97,36.95,56.37,30.34
11/24/2015,33.05,36.99,56.48,30.68
11/25/2015,33.05,37.3,56.54,30.42
11/27/2015,33.1,37.2,56.66,29.75
11/30/2015,32.85,37.5,56.77,30.09
12/01/2015,33.47,38.45,57.32,30.35
12/02/2015,32.78,38.47,57.06,29.43
12/03/2015,31.84,36.37,55.87,30.03
12/04/2015,33.09,36.96,56.23,31.38
12/07/2015,32.68,37.66,56.62,30.5
12/08/2015,32.25,37.72,56.62,30.65
12/09/2015,31.74,37.72,56.84,30.52
12/10/2015,31.91,37.71,56.64,30.5
12/11/2015,30.64,39.01,57.49,30.77
12/14/2015,30.98,37.52,56.68,29.91
12/15/2015,31.64,37.47,56.28,29.84
12/16/2015,32.54,37.44,56.03,30.48
12/17/2015,31.59,38.22,56.52,29.27
12/18/2015,30.4,38.67,56.91,30.01
12/21/2015,30.91,38.53,56.97,30.81
12/22/2015,31.38,37.8,56.46,30.43
12/23/2015,32.14,37.35,56.26,30.3
12/24/2015,32.01,37.35,56.33,30.65
12/28/2015,31.91,37.8,56.5,30.19
12/29/2015,32.57,36.75,55.88,30.18
12/30/2015,32.14,36.44,55.91,29.76
12/31/2015,31.5,36.63,56.13,29.73
01/04/2016,30.6,37.46,56.58,30.56
01/05/2016,30.73,37.28,56.53,30.8
01/06/2016,29.91,37.98,57.2,31.65
01/07/2016,28.48,38.09,57.41,32.48
01/08/2016,27.87,38.44,57.78,32.28
01/11/2016,27.89,37.62,57.36,31.59
01/12/2016,28.32,38.67,57.84,31.4
1/13/2016,26.93,39.48,58.38,31.73
1/14/2016,27.81,38.86,58.06,30.63
1/15/2016,26.61,40.17,58.6,31.27
1/19/2016,26.67,39.9,58.54,31.21
1/20/2016,26.04,40.81,59,31.97
1/21/2016,26.31,40.14,58.81,32.02
1/22/2016,27.38,39.82,58.48,31.78
1/25/2016,26.57,40.23,58.88,32.46
1/26/2016,27.26,40.4,58.96,33.18
1/27/2016,26.68,40.26,59.04,33.38
1/28/2016,26.97,40.37,59.21,32.79
1/29/2016,28.24,41.04,59.83,33
02/01/2016,28.26,40.84,59.57,33.67
02/02/2016,27.2,41.87,60.42,33.69
02/03/2016,27.54,41.65,60.27,34.52
02/04/2016,27.62,42.04,60.48,35.2
02/05/2016,26.6,42.17,60.65,36.33
02/08/2016,25.86,43.9,61.55,37.31
02/09/2016,25.83,43.97,61.56,37.18
02/10/2016,25.8,44.69,61.95,37.8
02/11/2016,25.17,45.35,62.5,40.75
02/12/2016,26.17,44.18,61.6,40.26
2/16/2016,27.03,43,61.2,37.76
2/17/2016,27.93,42.48,60.85,38.36
2/18/2016,27.71,43.49,61.43,40.16
2/19/2016,27.68,43.64,61.37,39.77
2/22/2016,28.47,43.55,61.34,38.36
2/23/2016,27.8,43.84,61.47,39.4
2/24/2016,28.03,43.65,61.48,39.59
2/25/2016,28.7,44.01,61.94,39.97
2/26/2016,28.57,43.22,61.31,39.18
2/29/2016,28.06,43.48,61.5,40.42
03/01/2016,29.45,41.97,60.55,39.85
03/02/2016,29.71,42.36,60.33,40.37
03/03/2016,29.92,42.64,60.42,41.85
03/04/2016,30.1,41.98,60.07,41.69
03/07/2016,30.19,42.1,59.79,41.99
03/08/2016,29.5,43.06,60.52,41.59
03/09/2016,29.8,42.26,60.02,40.91
03/10/2016,29.83,41.93,59.58,42.29
03/11/2016,30.82,41.2,59.23,40.8
3/14/2016,30.71,41.52,59.29,39.77
3/15/2016,30.65,41.66,59.4,39.7
3/16/2016,31,41.46,59.79,41.54
3/17/2016,31.37,42.21,60.02,41.06
3/18/2016,31.63,42.37,60.29,40.88
3/21/2016,31.71,41.56,59.9,40.37
3/22/2016,31.67,41.86,59.64,40.7
3/23/2016,31.2,42.66,60.1,38.76
3/24/2016,31.16,42.56,59.96,38.7
3/28/2016,31.19,42.57,60.19,38.81
3/29/2016,31.8,43.58,60.98,40.19
3/30/2016,32.06,42.68,60.88,39.19
3/31/2016,31.91,43.47,61.27,39.69
04/01/2016,32.32,43.17,61.24,39
04/04/2016,32.12,43.56,61.4,38.46
04/05/2016,31.48,44.5,61.8,39.45
04/06/2016,32.14,43.89,61.6,38.97
04/07/2016,31.37,44.9,62.27,40.13
04/08/2016,31.57,44.37,62,40.03
04/11/2016,31.4,44.18,62.03,41.06
04/12/2016,32,43.66,61.47,41.09
4/13/2016,32.62,44.04,61.56,40.17
4/14/2016,32.63,43.55,61.29,39
4/15/2016,32.53,44.14,61.66,39.6
4/18/2016,33,43.76,61.5,39.45
4/19/2016,33.2,43.64,61.39,40.72
4/20/2016,33.27,42.63,60.95,40.28
4/21/2016,32.91,42.09,60.49,40.64
4/22/2016,32.94,41.88,60.39,39.6
4/25/2016,32.78,41.57,60.28,39.79
4/26/2016,32.91,41.17,59.9,40.09
4/27/2016,33.04,41.92,60.6,40.27
4/28/2016,32.46,42.31,61.06,41.81
4/29/2016,32.1,42.55,60.89,43.46
05/02/2016,32.58,41.69,60.67,43.19
05/03/2016,32.02,42.69,61.31,42.99
05/04/2016,31.64,42.78,61.53,42.53
05/05/2016,31.67,43.92,61.81,42.3
05/06/2016,31.87,43.45,61.61,43.12
05/09/2016,31.95,43.81,61.81,41.35
05/10/2016,32.71,43.5,61.78,41.59
05/11/2016,32.11,44.13,61.97,42.17
05/12/2016,32.13,43.68,61.72,41.69
5/13/2016,31.57,44.53,62.09,41.96
5/16/2016,32.17,43.87,61.59,42.04
5/17/2016,31.6,44.01,61.55,42.39
5/18/2016,31.61,42.56,60.57,40.9
5/19/2016,31.39,43.07,60.61,40.68
5/20/2016,31.75,43.18,60.72,40.57
5/23/2016,31.67,43.2,60.88,40.46
5/24/2016,32.49,42.77,60.58,38.97
5/25/2016,32.91,43.17,60.51,38.74
5/26/2016,32.95,43.07,60.95,38.46
5/27/2016,33.22,42.91,60.67,37.85
5/31/2016,33.12,43.13,60.84,38.11
06/01/2016,33.26,43.38,60.76,38.04
06/02/2016,33.45,44.13,61.14,37.88
06/03/2016,33.24,45.2,62.22,39.95
06/06/2016,33.6,44.65,62.02,40.03
