Date,SSO,UBT,UST,UGL
2006-06-21,7.494553089141846,,,
2006-06-22,7.414891719818115,,,
2006-06-23,7.413843631744385,,,
2006-06-26,7.45681619644165,,,
2006-06-27,7.324746131896973,,,
2006-06-28,7.389736652374268,,,
2006-06-29,7.703143119812012,,,
2006-06-30,7.69895076751709,,,
2006-07-03,7.803771018981934,,,
2006-07-05,7.699995994567871,,,
2006-07-06,7.724106311798096,,,
2006-07-07,7.635011196136475,,,
2006-07-10,7.648638725280762,,,
2006-07-11,7.713624954223633,,,
2006-07-12,7.561637878417969,,,
2006-07-13,7.333134651184082,,,
2006-07-14,7.267097473144531,,,
2006-07-17,7.259758472442627,,,
2006-07-18,7.271290302276611,,,
2006-07-19,7.520758628845215,,,
2006-07-20,7.432712554931641,,,
2006-07-21,7.315313339233398,,,
2006-07-24,7.546964168548584,,,
2006-07-25,7.6423468589782715,,,
2006-07-26,7.657022953033447,,,
2006-07-27,7.583650588989258,,,
2006-07-28,7.756602764129639,,,
2006-07-31,7.735637187957764,,,
2006-08-01,7.666454315185547,,,
2006-08-02,7.725152015686035,,,
2006-08-03,7.763940811157227,,,
2006-08-04,7.761842727661133,,,
2006-08-07,7.718866348266602,,,
2006-08-08,7.655972480773926,,,
2006-08-09,7.597277641296387,,,
2006-08-10,7.664363384246826,,,
2006-08-11,7.6088056564331055,,,
2006-08-14,7.635011196136475,,,
2006-08-15,7.82263708114624,,,
2006-08-16,7.953659534454346,,,
2006-08-17,7.986155033111572,,,
2006-08-18,8.018649101257324,,,
2006-08-21,7.980912685394287,,,
2006-08-22,7.994539737701416,,,
2006-08-23,7.92221736907959,,,
2006-08-24,7.951562404632568,,,
2006-08-25,7.966242790222168,,,
2006-08-28,8.034374237060547,,,
2006-08-29,8.07210636138916,,,
2006-08-30,8.071057319641113,,,
2006-08-31,8.064769744873047,,,
2006-09-01,8.146524429321289,,,
2006-09-05,8.161202430725098,,,
2006-09-06,8.018649101257324,,,
2006-09-07,7.937938213348389,,,
2006-09-08,7.994539737701416,,,
2006-09-11,7.992440223693848,,,
2006-09-12,8.148624420166016,,,
2006-09-13,8.22828483581543,,,
2006-09-14,8.188456535339355,,,
2006-09-15,8.258684158325195,,,
2006-09-18,8.257637023925781,,,
2006-09-19,8.20417594909668,,,
2006-09-20,8.303756713867188,,,
2006-09-21,8.21361255645752,,,
2006-09-22,8.168539047241211,,,
2006-09-25,8.320527076721191,,,
2006-09-26,8.42954158782959,,,
2006-09-27,8.450501441955566,,,
2006-09-28,8.477758407592773,,,
2006-09-29,8.443163871765137,,,
2006-10-02,8.37293529510498,,,
2006-10-03,8.40333080291748,,,
2006-10-04,8.600395202636719,,,
2006-10-05,8.641276359558105,,,
2006-10-06,8.616118431091309,,,
2006-10-09,8.624499320983887,,,
2006-10-10,8.650705337524414,,,
2006-10-11,8.616118431091309,,,
2006-10-12,8.7701997756958,,,
2006-10-13,8.811076164245605,,,
2006-10-16,8.838332176208496,,,
2006-10-17,8.76705551147461,,,
2006-10-18,8.792211532592773,,,
2006-10-19,8.807937622070312,,,
2006-10-20,8.820510864257812,,,
2006-10-23,8.902267456054688,,,
2006-10-24,8.94210147857666,,,
2006-10-25,8.992413520812988,,,
2006-10-26,9.069981575012207,,,
2006-10-27,8.950488090515137,,,
2006-10-30,8.938958168029785,,,
2006-10-31,8.909611701965332,,,
2006-11-01,8.803742408752441,,,
2006-11-02,8.796404838562012,,,
2006-11-03,8.741902351379395,,,
2006-11-06,8.954679489135742,,,
2006-11-07,9.001850128173828,,,
2006-11-08,9.060545921325684,,,
2006-11-09,8.956775665283203,,,
2006-11-10,8.972498893737793,,,
2006-11-13,9.009183883666992,,,
2006-11-14,9.137067794799805,,,
2006-11-15,9.202056884765625,,,
2006-11-16,9.241884231567383,,,
2006-11-17,9.239791870117188,,,
2006-11-20,9.234548568725586,,,
2006-11-21,9.262847900390625,,,
2006-11-22,9.302681922912598,,,
2006-11-24,9.229308128356934,,,
2006-11-27,8.982982635498047,,,
2006-11-28,9.03853702545166,,,
2006-11-29,9.201011657714844,,,
2006-11-30,9.208338737487793,,,
2006-12-01,9.166414260864258,,,
2006-12-04,9.313165664672852,,,
2006-12-05,9.388632774353027,,,
2006-12-06,9.361376762390137,,,
2006-12-07,9.295340538024902,,,
2006-12-08,9.314209938049316,,,
2006-12-11,9.36242961883545,,,
2006-12-12,9.345654487609863,,,
2006-12-13,9.391777992248535,,,
2006-12-14,9.517557144165039,,,
2006-12-15,9.557390213012695,,,
2006-12-18,9.496594429016113,,,
2006-12-19,9.547954559326172,,,
2006-12-20,9.511533737182617,,,
2006-12-21,9.454656600952148,,,
2006-12-22,9.320124626159668,,,
2006-12-26,9.443718910217285,,,
2006-12-27,9.576064109802246,,,
2006-12-28,9.5377836227417,,,
2006-12-29,9.439343452453613,,,
2007-01-03,9.37808895111084,,,
2007-01-04,9.42622184753418,,,
2007-01-05,9.277464866638184,,,
2007-01-08,9.355123519897461,,,
2007-01-09,9.33105754852295,,,
2007-01-10,9.373713493347168,,,
2007-01-11,9.486377716064453,,,
2007-01-12,9.597941398620605,,,
2007-01-16,9.583724975585938,,,
2007-01-17,9.579347610473633,,,
2007-01-18,9.499503135681152,,,
2007-01-19,9.556381225585938,,,
2007-01-22,9.453560829162598,,,
2007-01-23,9.520286560058594,,,
2007-01-24,9.669036865234375,,,
2007-01-25,9.474344253540039,,,
2007-01-26,9.45028305053711,,,
2007-01-29,9.42184066772461,,,
2007-01-30,9.521379470825195,,,
2007-01-31,9.639504432678223,,,
